code,name,lat,lon,daylight_only,open_min,close_min,fuel
ARK,Arusha,-3.3677,36.6333,0,0,1440,1
JRO,Kilimanjaro Intl,-3.4294,37.0745,0,0,1440,1
DAR,Dar es Salaam,-6.8781,39.2026,0,0,1440,1
ZNZ,Zanzibar,-6.2220,39.2249,0,0,1440,1
MWZ,Mwanza,-2.4444,32.9328,0,0,1440,1
KGL,Kigali Intl,-1.9686,30.1395,0,0,1440,1
EBB,Entebbe Intl,0.0424,32.4435,0,0,1440,1
SEU,Seronera,-2.4583,34.8233,1,390,1110,0
KOG,Kogatende,-1.9600,34.8600,1,390,1110,0
LKY,Lake Manyara,-3.3763,35.8183,1,390,1110,0
KUR,Kuro Tarangire,-4.1800,36.0000,1,390,1110,0
GRU,Grumeti,-2.1200,34.2000,1,390,1110,0
NDU,Ndutu,-3.1800,34.9300,1,390,1110,0
RUA,Ruaha Msembe,-7.7100,34.8000,1,390,1110,0
SEL,Nyerere Mtemere,-7.9900,38.0500,1,390,1110,0
LAM,Loliondo,-2.0420,35.6110,1,390,1110,0
LOB,Lobo,-1.5700,34.9870,1,390,1110,0
GTZ,Grumeti North,-1.7400,34.6400,1,390,1110,0
FTI,Fort Ikoma,-1.8770,34.6060,1,390,1110,0
SAS,Sasakwa,-2.0180,34.3360,1,390,1110,0
SGS,Singita Serengeti,-2.8300,35.0100,1,390,1110,0
NTU,Ndutu Plains,-3.1500,34.9000,1,390,1110,0
MWT,Mwiba,-3.5600,35.2800,1,390,1110,0
CHM,Chem Chem,-3.6900,35.8400,1,390,1110,0
TRM,Tarime,-1.3571,34.1731,1,390,1110,0
MGQ,Migori Kenya,-1.0640,34.4670,1,390,1110,0
RBD,Rubondo Island,-2.2500,31.8700,1,390,1110,0
MSE,Msembe Ruaha,-7.7100,34.8000,1,390,1110,0
JON,Jongomero,-7.3700,34.2200,1,390,1110,0
