flight,from,to,dep,arr,aircraft_type
UI001,KUR,CHM,07:45,07:50,C208B
UI001,CHM,LKY,08:00,08:05,C208B
UI001,LKY,MWT,08:10,08:15,C208B
UI001,MWT,NTU,08:20,08:25,C208B
UI001,NTU,SGS,08:30,08:35,C208B
UI001,SGS,SEU,08:40,08:45,C208B
UI001,SEU,SAS,08:50,08:55,C208B
UI001,SAS,FTI,09:00,09:05,C208B
UI001,FTI,GTZ,09:10,09:15,C208B
UI001,GTZ,LOB,09:20,09:25,C208B
UI001,LOB,KOG,09:30,09:35,C208B
UI001,KOG,LAM,09:40,09:45,C208B
UI001,LAM,TRM,09:50,09:55,C208B
UI001,TRM,MGQ,10:00,11:15,C208B
UI002,MGQ,TRM,09:00,10:30,C208B
UI002,TRM,LAM,10:45,10:50,C208B
UI002,LAM,KOG,10:55,11:00,C208B
UI002,KOG,LOB,11:05,11:10,C208B
UI002,LOB,GTZ,11:15,11:20,C208B
UI002,GTZ,FTI,11:25,11:30,C208B
UI002,FTI,SAS,11:35,11:40,C208B
UI002,SAS,SEU,11:45,11:50,C208B
UI002,SEU,SGS,11:55,12:00,C208B
UI002,SGS,NTU,12:05,12:10,C208B
UI002,NTU,MWT,12:15,12:20,C208B
UI002,MWT,LKY,12:25,12:30,C208B
UI002,LKY,CHM,12:35,12:40,C208B
UI002,CHM,KUR,12:45,12:50,C208B
UI004,MGQ,TRM,12:00,13:30,C208B
UI004,TRM,LAM,13:30,13:45,C208B
UI004,LAM,KOG,13:50,13:55,C208B
UI004,KOG,LOB,14:00,14:05,C208B
UI004,LOB,GTZ,14:10,14:15,C208B
UI004,GTZ,FTI,14:20,14:25,C208B
UI004,FTI,SAS,14:30,14:35,C208B
UI004,SAS,SEU,14:40,14:45,C208B
UI004,SEU,SGS,15:00,15:05,C208B
UI004,SGS,NTU,15:10,15:15,C208B
UI004,NTU,MWT,15:20,15:25,C208B
UI004,MWT,LKY,15:30,15:35,C208B
UI004,LKY,CHM,15:40,15:45,C208B
UI004,CHM,KUR,15:50,15:55,C208B
UI512,ARK,LKY,08:30,08:55,C208B
UI512,LKY,KOG,09:10,10:05,C208B
UI513,KOG,SEU,09:30,09:55,C208B
UI513,SEU,LKY,10:00,10:35,C208B
UI513,LKY,JRO,12:00,12:35,C208B
UI513,JRO,ARK,12:50,13:05,C208B
UI522,ARK,LKY,09:30,09:55,C208B
UI522,LKY,SEU,10:10,10:45,C208B
UI600,LKY,MWT,08:15,09:00,C208B
UI600,MWT,SGS,08:45,09:00,C208B
UI600,SGS,NTU,08:45,09:00,C208B
UI600,NTU,SEU,08:45,09:00,C208B
UI600,SEU,LOB,09:00,09:05,C208B
UI600,LOB,KOG,09:05,09:10,C208B
UI600,KOG,LAM,09:15,09:20,C208B
UI600,LAM,FTI,09:25,09:30,C208B
UI600,FTI,SAS,09:35,09:40,C208B
UI600,SAS,GTZ,09:45,09:55,C208B
UI600,GTZ,RBD,09:55,10:45,C208B
UI600,RBD,KGL,10:55,11:30,C208B
UI600,KGL,EBB,11:30,11:35,C208B
UI601,KGL,EBB,12:15,12:15,C208B
UI601,EBB,RBD,12:15,12:55,C208B
UI601,RBD,GTZ,15:15,16:00,C208B
UI601,GTZ,SAS,14:10,16:30,C208B
UI601,SAS,FTI,14:10,16:30,C208B
UI601,FTI,LAM,14:10,16:00,C208B
UI601,LAM,KOG,14:10,16:00,C208B
UI601,KOG,LOB,14:10,16:30,C208B
UI601,LOB,SEU,14:10,16:30,C208B
UI601,SEU,NTU,14:10,17:00,C208B
UI601,NTU,SGS,14:10,17:00,C208B
UI601,SGS,MWT,14:10,17:00,C208B
UI601,MWT,LKY,14:10,17:15,C208B
UI601,LKY,KUR,17:15,17:15,C208B
UI611,DAR,ZNZ,07:15,07:30,DHC8-300
UI611,ZNZ,ARK,08:00,09:05,DHC8-300
UI611,ARK,KOG,09:35,10:20,C208B
UI612,ARK,JRO,07:30,07:40,C208B
UI612,JRO,KUR,07:45,08:00,C208B
UI612,KUR,CHM,08:15,08:20,C208B
UI612,CHM,LKY,08:25,08:30,C208B
UI612,LKY,MWT,08:35,08:40,C208B
UI612,MWT,NTU,08:45,08:40,C208B
UI612,NTU,SGS,08:45,08:50,C208B
UI612,SGS,SEU,08:55,09:00,C208B
UI612,SEU,SAS,09:15,09:20,C208B
UI612,SAS,FTI,09:25,09:30,C208B
UI612,FTI,GTZ,09:35,09:40,C208B
UI612,GTZ,LOB,09:45,09:50,C208B
UI612,LOB,KOG,09:55,10:00,C208B
UI612,KOG,LAM,10:05,10:10,C208B
UI612YZ,LKY,SEU,08:00,08:35,C208B
UI613,LAM,KOG,09:50,09:55,C208B
UI613,KOG,LOB,10:00,10:05,C208B
UI613,LOB,GTZ,10:05,10:10,C208B
UI613,GTZ,FTI,10:15,10:20,C208B
UI613,FTI,SAS,10:25,10:30,C208B
UI613,SAS,SEU,10:35,10:40,C208B
UI613,SEU,SGS,11:00,11:05,C208B
UI613,SGS,NTU,11:10,11:15,C208B
UI613,NTU,MWT,11:20,11:25,C208B
UI613,MWT,LKY,11:30,11:50,C208B
UI613,LKY,CHM,11:55,12:00,C208B
UI613,CHM,KUR,12:05,12:10,C208B
UI613,KUR,JRO,12:15,12:20,C208B
UI613,JRO,ARK,12:25,12:35,C208B
UI614,ARK,ZNZ,13:15,14:30,DHC8-300
UI614,ZNZ,DAR,15:00,15:20,DHC8-300
UI616,ARK,JRO,10:00,10:10,C208B
UI616,JRO,KUR,10:25,10:30,C208B
UI616,KUR,CHM,10:45,10:50,C208B
UI616,CHM,LKY,10:55,11:00,C208B
UI616,LKY,MWT,11:05,11:10,C208B
UI616,MWT,NTU,11:15,11:30,C208B
UI616,NTU,SGS,11:35,11:40,C208B
UI616,SGS,SEU,11:45,11:50,C208B
UI616,SEU,SAS,11:55,12:00,C208B
UI616,SAS,FTI,12:15,12:20,C208B
UI616,FTI,GTZ,12:25,12:30,C208B
UI616,GTZ,LOB,12:35,12:40,C208B
UI616,LOB,KOG,12:45,12:50,C208B
UI616,KOG,LAM,12:55,13:00,C208B
UI617,LAM,KOG,14:00,14:05,C208B
UI617,KOG,LOB,14:10,14:15,C208B
UI617,LOB,GTZ,14:20,14:25,C208B
UI617,GTZ,FTI,14:30,14:35,C208B
UI617,FTI,SAS,14:40,14:45,C208B
UI617,SAS,SEU,14:50,14:55,C208B
UI617,SEU,SGS,15:00,15:05,C208B
UI617,SGS,NTU,15:10,15:15,C208B
UI617,NTU,MWT,15:20,15:25,C208B
UI617,MWT,LKY,15:30,15:35,C208B
UI617,LKY,CHM,16:00,16:05,C208B
UI617,CHM,KUR,16:10,16:15,C208B
UI617,KUR,JRO,16:30,16:45,C208B
UI617,JRO,ARK,17:00,17:15,C208B
UI618,ZNZ,ARK,15:00,16:10,DHC8-300
UI619,ARK,ZNZ,16:45,17:55,DHC8-300
UI619,ZNZ,DAR,18:20,18:35,DHC8-300
UI621,DAR,ZNZ,07:15,07:30,DHC8-300
UI621,ZNZ,ARK,08:00,09:05,DHC8-300
UI621,ARK,LKY,09:50,10:05,DHC8-300
UI621,LKY,SEU,10:35,11:00,DHC8-300
UI623,SEU,ZNZ,11:30,13:10,DHC8-300
UI624,ARK,ZNZ,13:45,15:00,DHC8-300
UI628,ZNZ,ARK,12:10,13:15,DHC8-300
UI633,KOG,SEU,09:25,09:30,DHC8-300
UI633,SEU,ZNZ,10:00,11:40,DHC8-300
UI634,ARK,ZNZ,14:15,15:30,DHC8-300
UI638,ZNZ,ARK,15:30,16:35,DHC8-300
UI643,KOG,SEU,10:45,11:00,DHC8-300
UI643,SEU,ARK,11:30,12:05,DHC8-300
UI663,SEU,MSE,13:00,15:05,C208B
UI663,MSE,JON,15:10,15:15,C208B
